Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-01-02,51925.33984375,52486.69486908784,51644.66233108108,51925.33984375,10031448
2023-01-03,51831.78515625,52393.1402301444,50989.752545408395,51831.78515625,13547030
2023-01-04,54077.203125,54264.32147491349,52018.90127595155,52112.46045090831,20188071
2023-01-05,54451.4375,55012.7925257732,53890.0824742268,54451.4375,15682826
2023-01-06,55199.91015625,55574.146835275424,54170.75928893009,54544.99596795551,17334989
2023-01-09,56790.4140625,56790.4140625,55761.26323105436,55854.82239754942,18640107
2023-01-10,56509.7421875,57164.65641814984,56041.94630846441,56322.623835885766,14859797
2023-01-11,56603.30078125,57258.21500516529,56416.18243155992,57071.09665547521,12310751
2023-01-12,56603.30078125,57258.21500516529,56041.94573217975,57164.65583032025,16102561
2023-01-13,56883.97265625,57258.20931846217,56509.73599403783,56603.295159590874,12510328
2023-01-16,57164.66015625,57632.45606587561,56883.98261047463,57351.77852010024,10039972
2023-01-17,57071.09765625,57538.893538678276,56696.860950307375,57258.21600922131,9831456
2023-01-18,56509.7421875,57071.097242342716,56041.94630846441,56790.41971492136,11584041
2023-01-19,57538.88671875,57538.88671875,56509.73589939024,56603.29506478658,12808490
2023-01-20,57819.56640625,58287.36225096076,57164.652223654935,58100.243913076454,9646327
2023-01-25,59222.95703125,59597.19372655016,58942.27950977488,59410.07537890008,39217
2023-01-26,59690.75390625,59784.31308165164,59222.95802924177,59690.75390625,54188
2023-01-27,60439.22265625,60813.45932904411,59784.308478860294,60252.10431985294,44282
2023-01-30,59222.95703125,60719.90381245063,59035.838683599926,60719.90381245063,59628
2023-01-31,57445.33203125,59597.19300310464,57071.09534049267,59410.07465772598,163847
2023-02-01,57071.09765625,58661.603656506144,57071.09765625,58568.04448002049,98585
2023-02-02,59410.07421875,59784.310906742125,58568.04167076772,59129.396702755905,65992
2023-02-03,59410.07421875,59877.87007874016,58942.278358759846,59784.310906742125,47567
2023-02-06,57632.44140625,58942.269620028404,57632.44140625,58755.15130377435,144104
2023-02-07,58006.6796875,58474.47549143145,57632.44304435483,57913.120526713705,32873
2023-02-08,59035.8359375,59222.954276446115,58380.92175118859,58755.158429080824,42558
2023-02-09,59222.95703125,59222.95703125,58287.36529299961,58942.27950977488,48035
